Season,Team,Points
18-19,Manchester City,98
18-19,Liverpool,97
18-19,Chelsea,72
18-19,Tottenham Hotspur,71
18-19,Arsenal,70
18-19,Manchester United,66
18-19,Wolverhampton Wanderers,57
18-19,Everton,54
18-19,Leicester City,52
18-19,West Ham United,52
18-19,Watford,50
18-19,Crystal Palace,49
18-19,Newcastle United,45
18-19,Bournemouth,45
18-19,Burnley,40
18-19,Southhampton,39
18-19,Brighton and Hove Albion,36
18-19,Cardiff City,34
18-19,Fulham,26
18-19,Huddersfield Town,16
17-18,Manchester City,100
17-18,Manchester United,81
17-18,Tottenham Hotspur,77
17-18,Liverpool,75
17-18,Chelsea,70
17-18,Arsenal,63
17-18,Burnley,54
17-18,Everton,49
17-18,Leicester City,47
17-18,Newcastle United,44
17-18,Crystal Palace,44
17-18,Bournemouth,44
17-18,West Ham United,42
17-18,Watford,41
17-18,Brighton and Hove Albion,40
17-18,Huddersfield Town,37
17-18,Southhampton,36
17-18,Swansea City,33
17-18,Stoke City,33
17-18,West Bromwich Albion,31
16-17,Chelsea,93
16-17,Tottenham Hotspur,86
16-17,Manchester City,78
16-17,Liverpool,76
16-17,Arsenal,75
16-17,Manchester United,69
16-17,Everton,61
16-17,Southhampton,46
16-17,Bournemouth,46
16-17,West Bromwich Albion,45
16-17,West Ham United,45
16-17,Leicester City,44
16-17,Stoke City,44
16-17,Crystal Palace,41
16-17,Swansea City,41
16-17,Burnley,40
16-17,Watford,40
16-17,Hull City,34
16-17,Middlesbrough,28
16-17,Sunderland,24
15-16,Leicester City,81
15-16,Arsenal,71
15-16,Tottenham Hotspur,70
15-16,Manchester City,66
15-16,Manchester United,66
15-16,Southhampton,63
15-16,West Ham United,62
15-16,Liverpool,60
15-16,Stoke City,51
15-16,Chelsea,50
15-16,Everton,47
15-16,Swansea City,47
15-16,Watford,45
15-16,West Bromwich Albion,43
15-16,Crystal Palace,42
15-16,Bournemouth,42
15-16,Sunderland,39
15-16,Newcastle United,37
15-16,Norwich City,34
15-16,Aston Villa,17
